phylum,scientificname,OBIS_Min of depth,OBIS_Max of depth,Min of sst,Max of sst,Min of sss,Max of sss
Cryptophyta,Hemiselmis andersenii,64,89,21.1,23.44,35.91,36.16
Cryptophyta,Leucocryptos marina,86,285,17.09,23.44,34.64,36.16
Cryptophyta,Teleaulax amphioxeia,57,232,17.09,23.44,34.64,36.16
Cryptophyta,Telonema subtile,57,288,17.09,23.44,34.64,36.16
Ctenophora,Beroe cucumis,500,500,11.35,12.07,32.04,32.4
Ctenophora,Pleurobrachia pileus,40,500,10.78,11.92,32.08,32.28
Cyanobacteria,Geminobacterium atlanticum,135,135,21.1,21.1,35.91,35.91
Cyanobacteria,Prochlorococcus marinus,64,135,17.09,23.44,34.64,36.16
Echinodermata,Amphipholis squamata,75,76.6,13.77,13.88,32.59,32.7
Echinodermata,Arbacia punctulata,115,115,12.75,12.75,31.29,31.29
Echinodermata,Asteroschema clavigerum,1298.5,1404.5,18.01,18.17,35.11,35.12
Echinodermata,Astropecten duplicatus,55.4,55.4,13.63,13.63,32.21,32.21
Echinodermata,Benthopecten spinosus,1984,1984,17.72,17.72,34.98,34.98
Echinodermata,Brisinga costata,1413,1442,18.17,18.17,35.11,35.11
Echinodermata,Cheiraster (Cheiraster) sepitus,1298.5,1442,18.01,18.17,35.11,35.12
Echinodermata,Chondraster grandis,1326,1510,17.84,17.84,35.06,35.06
Echinodermata,Echinarachnius parma,55,71,12.36,14.16,31.01,32.67
Echinodermata,Freyella elegans,1994,2558,12.06,13.18,32.41,33.03
Echinodermata,Gracilechinus affinis,1404.5,2051.5,17.72,18.17,34.98,35.11
Echinodermata,Hippasteria phrygiana,1298.5,1298.5,18.01,18.01,35.12,35.12
Echinodermata,Hygrosoma petersii,1149,1510,17.84,18.01,35.06,35.12
Echinodermata,Leptosynapta tenuis,75,75,13.77,13.77,32.7,32.7
Echinodermata,Mediaster bairdi,1326,1510,17.84,17.84,35.06,35.06
Echinodermata,Myxaster sol,1149,1149,17.84,17.84,35.06,35.06
Echinodermata,Neomorphaster forcipatus,1149,1510,17.84,18.17,35.06,35.12
Echinodermata,Ophiacantha abyssicola,274,911,10.83,11.29,31.92,32.08
Echinodermata,Ophiacantha bidentata,274,2558,10.83,21.95,31.92,35.98
Echinodermata,Ophiocreas oedipus,2063,2063,21.94,21.94,35.99,35.99
Echinodermata,Ophiocten centobi,1930.5,1930.5,21.94,21.94,35.99,35.99
Echinodermata,Ophiomusa lymani,1149,2004,11.61,18.17,32.19,35.12
Echinodermata,Ophiopholis aculeata,911,911,11.29,11.29,32.08,32.08
Echinodermata,Ophioplinthaca abyssalis,2029,2460,21.94,21.94,35.99,35.99
Echinodermata,Ophioplinthus abyssorum,1298.5,1298.5,18.01,18.01,35.12,35.12
Echinodermata,Ophioplinthus tessellata,1404.5,1409,18.17,18.17,35.11,35.11
Echinodermata,Ophiosemnotes clavigera,1442,1442,18.17,18.17,35.11,35.11
Echinodermata,Ophiura ljungmani,1298.5,1923,18.01,21.95,35.11,35.98
Echinodermata,Ophiura saurura,1298.5,1930.5,18.01,21.94,35.11,35.99
Echinodermata,Paragonaster subtilis,1298.5,1298.5,18.01,18.01,35.12,35.12
Echinodermata,Phormosoma placenta,1298.5,1410,11.61,18.01,32.19,35.12
Echinodermata,Plutonaster agassizi,1326,1510,17.84,18.17,35.06,35.11
Echinodermata,Pontaster tenuispinus,1409,1409,18.17,18.17,35.11,35.11
Echinodermata,Psychropotes depressa,2558,2558,13.18,13.18,33.03,33.03
Echinodermata,Salenocidaris varispina,1404.5,1449.5,18.01,18.17,35.11,35.12
Echinodermata,Zygothuria lactea,1404.5,1442,18.17,18.17,35.11,35.11
Euglenozoa,Hemistasia phaeocysticola,65,90,21.1,21.1,35.91,35.91
Foraminifera,Globigerinella siphonifera,109,109,17.09,17.09,34.64,34.64
Foraminifera,Globorotalia inflata,185,285,17.09,17.09,34.64,34.64
Haptophyta,Diacronema lutheri,109,109,17.09,17.09,34.64,34.64
Haptophyta,Emiliania huxleyi,57,288,17.09,23.44,34.64,36.16
Haptophyta,Isochrysis galbana,61,65,20.18,21.1,35.76,35.91
Haptophyta,Phaeocystis antarctica,57,288,17.09,23.44,34.64,36.16
Haptophyta,Phaeocystis globosa,61,111,20.18,23.44,35.76,36.16
Haptophyta,Prymnesium parvum,65,236,20.18,23.44,35.76,36.16
Lentisphaerae,Lentisphaera araneosa,57,285,17.09,23.44,34.64,36.16
Mollusca,Abralia redfieldi,1770,2356.5,14.62,16.8,33.64,34.64
Mollusca,Abralia veranyi,145,2587,14.62,18.62,33.33,35.26
Mollusca,Abraliopsis atlantica,2439.5,2439.5,17.27,17.27,34.9,34.9
Mollusca,Abraliopsis morisii,1215,3417.5,14.62,18.72,33.64,35.31
Mollusca,Agriopoma morrhuanum,73.4,73.4,12.64,12.64,30.26,30.26
Mollusca,Ancistrocheirus lesueurii,1218,1218,18.01,18.01,35.12,35.12
Mollusca,Argonauta argo,2111.5,2328,16.09,18.01,34.37,35.12
Mollusca,Astarte borealis,70,75,14.94,15.53,33.02,33.31
Mollusca,Astarte undata,73.4,92.2,12.64,14.94,30.26,33.11
Mollusca,Bathothauma lyromma,3417.5,3417.5,18.4,18.4,35.19,35.19
Mollusca,Bathypolypus arcticus,66,858,10.81,16.79,31.95,34.45
Mollusca,Bathyteuthis abyssicola,1898.5,2107.5,15.92,15.95,34.2,34.33
Mollusca,Bathyteuthis berryi,969.5,2275.5,15.55,18.18,34.09,35.16
Mollusca,Bolitaena pygmaea,1901,2120,15.92,18.17,34.33,35.11
Mollusca,Brachioteuthis beanii,745,2029.5,14.54,17.84,33.71,35.06
Mollusca,Busycotypus canaliculatus,114,114,12.59,12.59,30.83,30.83
Mollusca,Calliotropis ottoi,1294,1449.5,17.72,18.01,34.98,35.12
Mollusca,Chiroteuthis mega,1215,2907.5,14.62,18.31,33.64,35.25
Mollusca,Chiroteuthis spoeli,1215,1215,18.01,18.01,35.12,35.12
Mollusca,Chiroteuthis veranii,363,2393.5,15.92,18.45,34.2,35.2
Mollusca,Chtenopteryx sicula,2381.5,3417.5,18.01,18.4,35.12,35.19
Mollusca,Cirrothauma murrayi,1260,3008,17.94,18.01,35.05,35.12
Mollusca,Clione limacina,45,545,11.35,13.84,32.04,33.41
Mollusca,Colus pygmaeus,55.4,55.4,13.63,13.63,32.21,32.21
Mollusca,Colus stimpsoni,57,57,12.85,12.85,32.24,32.24
Mollusca,Cranchia scabra,822,2431.5,17.84,18.18,35.06,35.16
Mollusca,Crenella decussata,57,80,12.85,14.94,32.24,33.02
Mollusca,Creseis acicula,51,51,18.69,18.69,35.28,35.28
Mollusca,Cyclocardia borealis,58,80,12.64,14.94,30.26,33.02
Mollusca,Cycloteuthis sirventi,858,858,15.55,15.55,34.09,34.09
Mollusca,Discoteuthis discus,1322.5,1322.5,17.84,17.84,35.06,35.06
Mollusca,Discoteuthis laciniosa,2328,2532,18.01,18.31,35.12,35.25
Mollusca,Doryteuthis pealeii,38.5,584.5,10.46,16.94,30.26,34.35
Mollusca,Ennucula delphinodonta,80,80,14.59,14.59,32.86,32.86
Mollusca,Ennucula tenuis,92.2,92.2,13.59,13.59,33.11,33.11
Mollusca,Enoploteuthis anapsis,1730.5,1730.5,18.45,18.45,35.2,35.2
Mollusca,Enoploteuthis leptura,1590.5,2406.5,14.62,18.72,33.64,35.31
Mollusca,Ensis directus,55,55,14.09,14.09,32.39,32.39
Mollusca,Euspira heros,50,120,12.59,13.01,30.26,31.32
Mollusca,Frigidoalvania carinata,57,57,12.85,12.85,32.24,32.24
Mollusca,Galiteuthis armata,3417.5,3417.5,18.4,18.4,35.19,35.19
Mollusca,Gonatus fabricii,969.5,3321.5,14.62,18.72,33.64,35.31
Mollusca,Graneledone verrucosa,818,1158.5,14.8,17.84,33.73,35.06
Mollusca,Grimalditeuthis bonplandii,1518,3008,17.94,18.01,35.05,35.12
Mollusca,Haliphron atlanticus,363,2841,15.52,18.62,34.07,35.26
Mollusca,Helicocranchia pfefferi,1176,2673,17.72,18.45,34.98,35.2
Mollusca,Heteranomia squamula,856,856,11.26,11.26,32.06,32.06
Mollusca,Histioteuthis atlantica,1961,1961,18.01,18.01,35.12,35.12
Mollusca,Histioteuthis bonnellii,2100,2673,17.6,18.45,34.97,35.2
Mollusca,Histioteuthis corona,822,2673,17.72,18.45,34.98,35.2
Mollusca,Histioteuthis meleagroteuthis,2184,2320.5,17.12,17.6,34.87,34.97
Mollusca,Histioteuthis reversa,363,3417.5,15.55,18.72,34.09,35.31
Mollusca,Illex illecebrosus,41,3008,10.52,18.62,30.65,35.26
Mollusca,Ilyanassa trivittata,73.4,73.4,12.64,12.64,30.26,30.26
Mollusca,Leachia atlantica,2045,2342.5,17.2,17.84,34.77,35.02
Mollusca,Limacina helicina,29.5,500,10.58,14.49,31.99,33.41
Mollusca,Limacina retroversa,36,500,10.75,12.63,32.03,32.91
Mollusca,Lucinoma filosa,88,92.2,13.28,13.59,33.03,33.11
Mollusca,Magnoteuthis magna,363,3321.5,14.54,18.72,33.64,35.31
Mollusca,Mastigopsis hjorti,1152.5,2510,17.46,17.72,34.93,34.98
Mollusca,Mastigoteuthis agassizii,858,3417.5,14.62,18.72,33.64,35.31
Mollusca,Mercenaria mercenaria,101,148,12.65,12.79,31.03,31.3
Mollusca,Mytilus edulis,59,120,12.65,12.79,31.08,31.3
Mollusca,Nucula proxima,73.4,98.3,12.64,14.34,30.26,33.2
Mollusca,Octopoteuthis danae,1260,3272,18.01,18.2,35.12,35.23
Mollusca,Octopoteuthis megaptera,1322.5,2381.5,17.72,18.72,34.98,35.31
Mollusca,Octopoteuthis sicula,363,3321.5,14.62,18.72,33.64,35.31
Mollusca,Octopus vulgaris,132,296,11.52,15.76,32.05,34.02
Mollusca,Onychoteuthis banksii,363,3008,17.12,18.62,34.77,35.26
Mollusca,Onykia robsoni,1961,1961,18.01,18.01,35.12,35.12
Mollusca,Opisthoteuthis agassizii,2248.5,2248.5,17.39,17.39,34.81,34.81
Mollusca,Ornithoteuthis antillarum,1590.5,2393.5,14.62,18.72,33.64,35.31
Mollusca,Parvicardium pinnulatum,58,75,14.16,14.94,32.49,33.02
Mollusca,Periploma margaritaceum,75,80,13.77,14.59,32.7,32.86
Mollusca,Periploma papyratium,57,92.2,12.85,13.88,32.24,33.11
Mollusca,Placopecten magellanicus,41.5,243,10.52,16.6,31.21,34.21
Mollusca,Pterygioteuthis gemmata,1213,2587,14.62,18.17,33.64,35.12
Mollusca,Pyroteuthis margaritifera,1181.5,3417.5,14.62,18.72,33.64,35.31
Mollusca,Selenoteuthis scintillans,1730.5,3008,17.94,18.45,35.05,35.2
Mollusca,Solamen glandula,92.2,92.2,13.59,13.59,33.11,33.11
Mollusca,Spisula solidissima,56,56,10.94,10.94,32.33,32.33
Mollusca,Stauroteuthis syrtensis,969.5,2841,15.55,18.18,34.09,35.16
Mollusca,Stigmatoteuthis dofleini,2016.5,2016.5,14.62,14.62,33.64,33.64
Mollusca,Stoloteuthis leucoptera,164.5,1541.5,11.95,15.88,32.15,34.09
Mollusca,Styliola subula,263.35,263.35,18.69,18.69,35.28,35.28
Mollusca,Taonius pavo,363,3417.5,14.62,18.72,33.64,35.31
Mollusca,Teuthowenia megalops,745,2907.5,14.54,18.31,33.64,35.25
Mollusca,Thyasira trisinuata,76.6,98.3,13.28,14.34,32.59,33.2
Mollusca,Thysanoteuthis rhombus,2603.5,2603.5,18.58,18.58,35.19,35.19
Mollusca,Tremoctopus gracilis,2532,2532,18.31,18.31,35.25,35.25
Mollusca,Vampyroteuthis infernalis,363,3417.5,14.62,18.72,33.64,35.31
Mollusca,Yoldia limatula,73.4,98.3,12.64,14.34,30.26,33.2
Myzozoa,Amallocystis fagei,232,232,23.44,23.44,36.16,36.16
Myzozoa,Amyloodinium ocellatum,285,285,21.1,21.1,35.91,35.91
Myzozoa,Blastodinium contortum,64,90,21.1,23.44,35.91,36.16
Myzozoa,Blastodinium galatheanum,109,109,17.09,17.09,34.64,34.64
Myzozoa,Blastodinium navicula,109,109,17.09,17.09,34.64,34.64
Myzozoa,Chytriodinium roseum,234,234,20.18,20.18,35.76,35.76
Myzozoa,Erythropsidinium agile,135,135,21.1,21.1,35.91,35.91
Myzozoa,Gonyaulax polygramma,89,89,23.44,23.44,36.16,36.16
Myzozoa,Gymnodinium aureolum,57,285,17.09,23.44,34.64,36.16
Myzozoa,Gymnodinium catenatum,64,111,23.44,23.44,36.16,36.16
Myzozoa,Gymnodinium impudicum,64,111,21.1,23.44,35.91,36.16
Myzozoa,Karlodinium veneficum,135,135,21.1,21.1,35.91,35.91
Myzozoa,Kryptoperidinium foliaceum,61,111,20.18,23.44,35.76,36.16
Myzozoa,Lingulodinium polyedra,57,57,17.09,17.09,34.64,34.64
Myzozoa,Margalefidinium polykrikoides,135,139,20.18,23.44,35.76,36.16
Myzozoa,Noctiluca scintillans,57,185,17.09,20.18,34.64,35.76
Myzozoa,Pentapharsodinium dalei,57,57,17.09,17.09,34.64,34.64
Myzozoa,Pentapharsodinium tyrrhenicum,108,139,20.18,23.44,35.76,36.16
Myzozoa,Perkinsus qugwadii,89,89,17.09,17.09,34.64,34.64
Myzozoa,Pfiesteria piscicida,57,285,17.09,23.44,34.64,36.16
Myzozoa,Polarella glacialis,90,90,21.1,21.1,35.91,35.91
Myzozoa,Sabulodinium undulatum,160,160,23.44,23.44,36.16,36.16
Myzozoa,Tripos fusus,61,61,20.18,20.18,35.76,35.76
Myzozoa,Tripos longipes,89,89,23.44,23.44,36.16,36.16
Ochrophyta,Aureococcus anophagefferens,232,232,23.44,23.44,36.16,36.16
Ochrophyta,Heterosigma akashiwo,90,90,21.1,21.1,35.91,35.91
Ochrophyta,Octactis speculum,89,90,21.1,23.44,35.91,36.16
Ochrophyta,Pelagomonas calceolata,57,285,17.09,23.44,34.64,36.16
Ochrophyta,Triparma laevis,64,64,23.44,23.44,36.16,36.16
Oomycota,Developayella elegans,288,288,20.18,20.18,35.76,35.76
Picozoa,Picomonas judraskeda,57,288,17.09,23.44,34.64,36.16
Planctomycetes,Blastopirellula marina,108,284,20.18,23.44,35.76,36.16
Porifera,Aphrocallistes beatrix,164,2926,16.34,19.65,34.31,35.6
Porifera,Asbestopluma (Asbestopluma) furcata,763,2553,12.81,22.52,32.9,36.1
Porifera,Asbestopluma (Asbestopluma) ruetzleri,621,4665,14.54,22.52,33.71,36.1
Porifera,Asconema foliatum,569,3107,11.69,22.07,32.21,35.99
Porifera,Atlantisella incognita,1127,2819,14.54,22.52,33.71,36.1
Porifera,Cladorhiza gelida,4543,4652,21.45,21.45,35.94,35.94
Porifera,Farrea herdendorfi,866,2825,12.81,22.07,32.9,35.99
Porifera,Farrea occa,860,2692,13.08,22.52,33.03,36.1
Porifera,Geodia barretti,685,2889,13.53,22.52,33.25,36.1
Porifera,Geodia macandrewii,1404.5,1917,18.01,18.17,35.11,35.12
Porifera,Geodia megastrella,1880,1995,19.91,21.95,35.58,35.98
Porifera,Hertwigia falcifera,741,3076,13.53,22.07,33.25,35.99
Porifera,Poecillastra compressa,2039,2039,18.17,18.17,35.11,35.11
Porifera,Stylocordyla borealis,1072,1072,16.05,16.05,34.16,34.16
Porifera,Suberites ficus,776,3208,12.81,22.52,32.9,36.1
Porifera,Vazella pourtalesii,306,428,10.83,15.6,31.92,34.12
Proteobacteria,Afifella marina,61,61,20.18,20.18,35.76,35.76
Proteobacteria,Alteromonas macleodii,57,288,17.09,23.44,34.64,36.16
Proteobacteria,Bermanella marisrubri,139,284,23.44,23.44,36.16,36.16
Proteobacteria,Colwellia polaris,234,284,20.18,23.44,35.76,36.16
Proteobacteria,Colwellia psychrerythraea,234,285,17.09,20.18,34.64,35.76
Proteobacteria,Congregibacter litoralis,285,285,17.09,17.09,34.64,34.64
Proteobacteria,Idiomarina abyssalis,234,234,20.18,20.18,35.76,35.76
Proteobacteria,Marinobacter excellens,288,288,20.18,20.18,35.76,35.76
Proteobacteria,Marinomonas mediterranea,65,111,21.1,23.44,35.91,36.16
Proteobacteria,Microbulbifer agarilyticus,109,109,17.09,17.09,34.64,34.64
Proteobacteria,Nisaea denitrificans,57,285,17.09,23.44,34.64,36.16
Proteobacteria,Nitrosomonas marina,139,185,17.09,23.44,34.64,36.16
Proteobacteria,Nitrospina gracilis,185,288,17.09,21.1,34.64,35.91
Proteobacteria,Oceanicaulis alexandrii,234,288,20.18,21.1,35.76,35.91
Proteobacteria,Oleispira antarctica,64,285,17.09,23.44,34.64,36.16
Proteobacteria,Photobacterium angustum,57,90,17.09,23.44,34.64,36.16
Proteobacteria,Photobacterium leiognathi,108,284,20.18,23.44,35.76,36.16
Proteobacteria,Photobacterium profundum,184,285,17.09,21.1,34.64,35.91
Proteobacteria,Piscirickettsia salmonis,284,284,23.44,23.44,36.16,36.16
Proteobacteria,Plesiocystis pacifica,109,288,17.09,20.18,34.64,35.76
Proteobacteria,Pseudoalteromonas byunsanensis,61,135,20.18,20.18,35.76,35.76
Proteobacteria,Pseudoalteromonas luteoviolacea,86,135,17.09,23.44,34.64,36.16
Proteobacteria,Robiginitomaculum antarcticum,234,234,20.18,20.18,35.76,35.76
Proteobacteria,Roseovarius nubinhibens,288,288,20.18,20.18,35.76,35.76
Proteobacteria,Saccharophagus degradans,285,285,17.09,17.09,34.64,34.64
Proteobacteria,Salinisphaera shabanensis,186,186,20.18,20.18,35.76,35.76
Proteobacteria,Shewanella frigidimarina,135,135,21.1,21.1,35.91,35.91
Proteobacteria,Sneathiella glossodoripedis,185,185,17.09,17.09,34.64,34.64
Proteobacteria,Teredinibacter turnerae,89,135,17.09,20.18,34.64,35.76
Proteobacteria,Thiorhodococcus drewsii,57,57,17.09,17.09,34.64,34.64
Proteobacteria,Vibrio campbellii,285,285,21.1,21.1,35.91,35.91
Proteobacteria,Vibrio coralliilyticus,86,285,17.09,20.18,34.64,35.76
Proteobacteria,Vibrio splendidus,89,234,20.18,23.44,35.76,36.16
Proteobacteria,Woodsholea maritima,139,139,23.44,23.44,36.16,36.16
Proteobacteria,Zooshikella ganghwensis,232,288,20.18,23.44,35.76,36.16
Radiozoa,Actinomma boreale,86,86,20.18,20.18,35.76,35.76
Radiozoa,Amphibelone heteracanthum,111,111,23.44,23.44,36.16,36.16
Radiozoa,Arachnosphaera myriacantha,57,57,17.09,17.09,34.64,34.64
Radiozoa,Astrosphaera hexagonalis,57,234,17.09,20.18,34.64,35.76
Radiozoa,Ceratospyris hyperborea,135,135,21.1,21.1,35.91,35.91
Radiozoa,Cladococcus viminalis,57,288,17.09,23.44,34.64,36.16
Radiozoa,Dictyocoryne truncatum,234,234,20.18,20.18,35.76,35.76
Radiozoa,Heteracon biformis,288,288,20.18,20.18,35.76,35.76
Radiozoa,Larcopyle buetschlii,57,288,17.09,23.44,34.64,36.16
Radiozoa,Phyllostaurus cuspidatus,135,135,17.09,17.09,34.64,34.64
Radiozoa,Pseudocubus obeliscus,111,111,21.1,21.1,35.91,35.91
Radiozoa,Pterocorys zancleus,86,135,17.09,21.1,34.64,35.91
Radiozoa,Rhaphidozoum acuferum,89,111,17.09,23.44,34.64,36.16
Radiozoa,Solenosphaera zanguebarica,135,135,20.18,20.18,35.76,35.76
Radiozoa,Sphaerozoum punctatum,184,232,21.1,23.44,35.91,36.16
Radiozoa,Spongopyle osculosa,57,285,17.09,23.44,34.64,36.16
Radiozoa,Spongotrochus glacialis,57,285,17.09,23.44,34.64,36.16
Radiozoa,Stylochlamydium venustum,135,234,20.18,23.44,35.76,36.16
Radiozoa,Stylodictya validispina,108,108,20.18,20.18,35.76,35.76
Thaumarchaeota,Nitrosopumilus maritimus,57,285,17.09,23.44,34.64,36.16
Verrucomicrobia,Coraliomargarita akajimensis,89,285,17.09,23.44,34.64,36.16
Verrucomicrobia,Pelagicoccus albus,61,111,20.18,23.44,35.76,36.16
Verrucomicrobia,Rubritalea marina,89,285,17.09,23.44,34.64,36.16
(blank),Bathycoccus prasinos,57,111,17.09,23.44,34.64,36.16
(blank),Crustomastix stigmatica,139,139,23.44,23.44,36.16,36.16
(blank),Ebria tripartita,57,57,17.09,17.09,34.64,34.64
(blank),Erythrotrichia carnea,185,185,17.09,17.09,34.64,34.64
(blank),Micromonas commoda,61,111,20.18,23.44,35.76,36.16
(blank),Micromonas pusilla,57,185,17.09,23.44,34.64,36.16
(blank),Ostreococcus lucimarinus,89,111,23.44,23.44,36.16,36.16
(blank),Ostreococcus tauri,57,111,17.09,23.44,34.64,36.16
(blank),Palpitomonas bilix,139,186,20.18,23.44,35.76,36.16
(blank),Prasinococcus capsulatus,61,89,20.18,23.44,35.76,36.16
(blank),Pycnococcus provasolii,109,109,17.09,17.09,34.64,34.64
(blank),Pyramimonas parkeae,109,109,17.09,17.09,34.64,34.64
(blank),Rhodochaete pulchella,111,111,21.1,21.1,35.91,35.91
(blank),Solenicola setigera,111,111,21.1,21.1,35.91,35.91
